keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,gap_since_expired,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
53,fbi 01 population,13,97.116,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
54,according fbi,13,96.475,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
55,about 0.01%,13,98.277,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
56,01 population homicidal,13,98.968,96.0,-2.9680000000000035,D,ocr_at_tnarr_partial,0.8,12.0,85.0,116.0,96.0,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
57,reported homicides known,14,103.243,96.0,-7.242999999999995,D,ocr_at_tnarr_partial,0.8,12.0,85.0,116.0,96.0,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
58,known homicides let,14,104.785,96.0,-8.784999999999997,D,ocr_at_tnarr_partial,0.8,12.0,85.0,116.0,96.0,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
59,homicides let assume,14,103.703,96.0,-7.703000000000003,D,ocr_at_tnarr_partial,0.8,12.0,85.0,116.0,96.0,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
60,let assume significant,14,104.7145,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
61,course reported,14,101.981,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
62,information calculate probability,15,109.79,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
63,probability homicidal given,15,111.592,96.0,-15.592,D,ocr_at_tnarr_partial,0.8,12.0,85.0,116.0,96.0,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
64,all three pieces,15,108.909,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
65,homicidal given gamer,15,112.233,85.5,-26.733000000000004,A,ocr_at_tnarr_partial,0.8,12.0,85.0,116.0,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
66,let started,16,114.8155,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
67,bayes theorem formulation,17,118.84,116.0,-2.8400000000000034,A,ocr_at_tnarr_partial,0.8,13.0,116.0,119.5,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
68,three values,17,117.579,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
69,values bayes,17,117.799,116.0,-1.7990000000000066,A,ocr_at_tnarr_partial,0.8,13.0,116.0,119.5,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
70,plug values,17,117.078,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
71,evaluates 0004,18,122.836,124.5,1.6640000000000017,D,ocr_at_tnarr_partial,0.8,15.0,122.5,151.0,124.5,MEDIUM,MEDIUM,True,,80.13065628326224,90.03999999999998,80.13065628326224,Suboptimal,72.11759065493602,3,1.0,80.13065628326224,15.895474973390208
72,.04% likelihood,19,128.121,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
73,homicidal given gamer,19,130.944,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
74,likelihood homicidal given,19,129.402,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
75,04 likelihood homicidal,19,130.123,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
76,likely homicidal,20,136.189,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
77,comparing small numbers,20,138.471,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
78,very small numbers,20,139.012,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
79,gamers times likely,20,135.008,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
80,spin say,20,134.307,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
81,homicidal reality comparing,20,136.649,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
82,very small number,21,142.896,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
83,different 85 claim,21,144.357,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
84,talked earlier,21,146.86,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
85,number different,21,143.456,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
86,actually small number,21,142.535,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
87,85% claim,21,145.338,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
88,let dissect visually,22,149.382,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
89,say circle,23,151.615,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
90,representing 100 000,23,152.356,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
91,"100,000 population",23,152.957,151.5,-1.4569999999999936,A,ocr_at_tnarr_partial,0.8,16.0,151.0,153.0,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
92,let say,23,152.837,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
93,circle representing 100,23,152.016,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
94,19 000 gamers,24,157.473,153.5,-3.973000000000013,A,ocr_at_tnarr_partial,0.8,17.0,153.0,168.0,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
95,gamers 19 population,24,157.103,153.0,-4.103000000000009,A,ocr_at_tnarr_partial,0.8,17.0,153.0,168.0,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
96,which,24,157.764,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
97,representing homicidal people,25,164.413,169.0,4.586999999999989,B,ocr_forward_partial,0.8,18.0,168.0,182.5,,MEDIUM,MEDIUM,False,,18.57700760874753,14.455000000000382,18.57700760874753,Disruptive,16.719306847872776,3,1.0,18.57700760874753,65.13839391300199
98,tiny population representing,25,162.851,153.0,-9.851,A,ocr_at_tnarr_partial,0.8,17.0,153.0,168.0,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
99,very tiny part,25,162.45,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
100,population representing homicidal,25,163.632,153.0,-10.632000000000003,A,ocr_at_tnarr_partial,0.8,17.0,153.0,168.0,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
101,let zoom look,26,167.9475,166.5,-1.447499999999991,D,ocr_at_tnarr_partial,0.8,17.0,153.0,168.0,166.5,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
102,population super tiny,27,170.641,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
103,subset,27,170.121,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
104,fbi statistics 0001,28,176.069,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
105,which,28,174.687,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
106,only 10 homicidal people,28,172.344,169.0,-3.343999999999994,A,ocr_at_tnarr_partial,0.8,18.0,168.0,182.5,,MEDIUM,MEDIUM,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
107,people lines fbi,28,173.705,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
108,10 people gamers,29,179.954,189.0,9.045999999999992,B,ocr_forward_partial,0.8,19.0,182.5,189.5,,MEDIUM,MEDIUM,False,,0.1435259973467116,0.0,0.1435259973467116,Unacceptable,0.12917339761204044,3,1.0,0.1435259973467116,79.88517920212263
109,games,29,187.217,189.0,1.782999999999987,D,ocr_at_tnarr_full,1.0,19.0,182.5,189.5,189.0,HIGH,MEDIUM,True,,77.54380992420865,88.2550000000002,77.54380992420865,Suboptimal,77.54380992420865,3,1.0,77.54380992420865,22.456190075791355
110,gamers remaining,29,183.392,189.0,5.608000000000004,D,ocr_at_tnarr_partial,0.8,19.0,182.5,189.5,189.0,MEDIUM,MEDIUM,True,,8.078426116423467,0.0,8.078426116423467,Unacceptable,7.27058350478112,3,1.0,8.078426116423467,73.53725910686123
111,question going 19,30,189.64,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
112,"19,000 people",30,192.283,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
113,beg,30,189.38,,,F,low_groundability,0.0,,,,,NONE,LOW,False,,,,,No Match,,3,1.0,,0.0
114,people away playstations,30,193.164,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
115,something,31,197.129,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
116,makes people homicidal,31,197.89,203.0,5.110000000000014,D,ocr_at_tnarr_partial,0.8,21.0,191.5,203.5,203.0,MEDIUM,MEDIUM,True,,12.381484682916449,0.0,12.381484682916449,Unacceptable,11.143336214624805,3,1.0,12.381484682916449,70.09481225366684
117,conclude,31,195.887,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
118,violent video games,31,199.692,192.5,-7.192000000000007,A,ocr_at_tnarr_partial,0.8,21.0,191.5,203.5,,MEDIUM,HIGH,True,,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
119,homicidal violent video,31,198.35,203.0,4.650000000000006,D,ocr_at_tnarr_partial,0.8,21.0,191.5,203.5,203.0,MEDIUM,HIGH,True,,17.73198703977956,12.249999999999801,17.73198703977956,Disruptive,15.958788335801605,3,1.0,17.73198703977956,65.81441036817635
120,shows easily duped,32,202.075,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
121,easily duped percentages,32,202.636,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
122,bias problems,33,207.782,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
123,yes cause lot,33,205.219,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
124,statistics machine learning,33,209.524,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
125,problems encounter statistics,33,208.142,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,,No Match,,3,1.0,,0.0
